log2FoldChange,baseMean,padj,ENSEMBL
0.18713483,1487.615616,0.37713911,ENSG00000000419
0.029227753,519.6503502,0.927794309,ENSG00000000457
0.311204155,125.5416568,0.380726319,ENSG00000000460
-0.184794249,79.10841394,0.818624222,ENSG00000000971
0.391030008,53.04816411,0.53282763,ENSG00000001036
-0.519930674,1065.13861,0.001388325,ENSG00000001084
-0.46872202,1734.417112,1.35E-04,ENSG00000001167
0.136077021,42.84011326,0.855378233,ENSG00000001460
-0.137813716,533.3624001,0.587951692,ENSG00000001461
0.002672076,942.2193422,0.993432681,ENSG00000001497
0.092997933,478.0799007,0.709583093,ENSG00000001561
-0.232616698,988.966675,0.205484867,ENSG00000001629
-0.1323813,924.6342275,0.595073659,ENSG00000001630
0.361905825,499.454985,0.066901351,ENSG00000001631
-0.177915403,208.6409926,0.589447036,ENSG00000002016
0.291889642,131.2910268,0.420006414,ENSG00000002330
0.127075243,1283.648151,0.541576024,ENSG00000002549
-0.118693555,618.5679736,0.586204897,ENSG00000002586
-0.260183233,411.3667741,0.271542633,ENSG00000002822
-0.012495031,2563.414883,0.952001905,ENSG00000002834
0.025178749,568.6468487,0.934461374,ENSG00000002919
0.162006289,1778.423053,0.398826671,ENSG00000003056
-0.257966485,410.7206835,0.276628012,ENSG00000003393
0.069469542,371.0513675,0.843923891,ENSG00000003400
0.868797088,2918.027508,2.18E-11,ENSG00000003402
0.221018153,262.9482873,0.4563758,ENSG00000003509
-0.325425739,3114.75764,0.015655886,ENSG00000003756
0.287773807,45.73311649,0.651979648,ENSG00000003987
0.112459223,1336.109769,0.566629474,ENSG00000004059
0.15796793,113.1532511,0.726758027,ENSG00000004139
0.109111394,989.3892288,0.552991132,ENSG00000004142
-0.868428976,72.37919808,0.031881916,ENSG00000004399
0.202544515,1765.597963,0.285832879,ENSG00000004455
-0.21927653,170.9336655,0.671245688,ENSG00000004468
0.098891742,1889.59678,0.610293452,ENSG00000004478
-0.079715033,1159.051113,0.714247815,ENSG00000004487
-0.2341301,2639.536944,0.144986699,ENSG00000004534
-0.377746501,71.02857082,0.406784873,ENSG00000004660
-0.017889832,2395.679275,0.945821611,ENSG00000004700
0.329636695,539.8879865,0.188946349,ENSG00000004766
0.120102043,37.70624207,0.889398485,ENSG00000004777
0.278162681,1138.943182,0.114854181,ENSG00000004779
0.345632925,82.46324318,0.444020261,ENSG00000004864
-0.134349468,150.677734,0.78196639,ENSG00000004866
-0.134349468,150.677734,0.78196639,ENSG00000004866
0.399352105,1103.753976,0.003106315,ENSG00000004897
0.14060988,367.7210188,0.632144878,ENSG00000004961
-0.173093938,795.9301007,0.336998336,ENSG00000004975
-0.388278156,2071.739041,0.006993499,ENSG00000005007
0.358025255,95.72002448,0.426240487,ENSG00000005020
0.15339917,4445.165955,0.339240461,ENSG00000005022
-0.064123673,1473.95063,0.801356323,ENSG00000005059
0.153485875,209.6741443,0.666041478,ENSG00000005075
0.360818522,415.415203,0.144971975,ENSG00000005100
-0.186728503,368.2686452,0.434007161,ENSG00000005156
0.093034761,1706.590794,0.703020974,ENSG00000005175
0.343532903,30.50948878,0.705691062,ENSG00000005187
0.245624895,483.7151742,0.215497936,ENSG00000005194
0.057654327,56.91838117,0.942629498,ENSG00000005238
-0.775380339,52.80285419,0.132520731,ENSG00000005249
0.04826796,847.4230299,0.840848335,ENSG00000005302
-0.117917125,930.2350657,0.655524617,ENSG00000005339
0.007264523,164.6165185,0.98973208,ENSG00000005379
